,No source in $2 with unapproved $1,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
99,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as work|is adapted as work,,,,http://rdaregistry.info/Elements/w/P10155,is adapted as work,,,,,
100,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,finding aid work|has finding aid work,,,,http://rdaregistry.info/Elements/w/P10157,has finding aid work,,,,,
101,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,index work|has index work,,,,http://rdaregistry.info/Elements/w/P10158,has index work,,,,,
102,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,screenplay work|has screenplay work,,,,http://rdaregistry.info/Elements/w/P10159,has screenplay work,,,,,
103,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,motion picture screenplay work|has motion picture screenplay work,,,,http://rdaregistry.info/Elements/w/P10160,has motion picture screenplay work,,,,,
104,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,musical setting of work|is musical setting of work,,,,http://rdaregistry.info/Elements/w/P10161,is musical setting of work,,,,,
105,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,radio script work|has radio script work,,,,http://rdaregistry.info/Elements/w/P10162,has radio script work,,,,,
106,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,television screenplay work|has television screenplay work,,,,http://rdaregistry.info/Elements/w/P10163,has television screenplay work,,,,,
107,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,video screenplay wor|has video screenplay wor,,,,http://rdaregistry.info/Elements/w/P10164,has video screenplay wor,,,,,
108,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,libretto work|has libretto work,,,,http://rdaregistry.info/Elements/w/P10165,has libretto work,,,,,
109,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,paraphrased as work|is paraphrased as work,,,,http://rdaregistry.info/Elements/w/P10166,is paraphrased as work,,,,,
110,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,abridged as work|is abridged as work,,,,http://rdaregistry.info/Elements/w/P10167,is abridged as work,,,,,
111,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,digested as work|is digested as work,,,,http://rdaregistry.info/Elements/w/P10171,is digested as work,,,,,
112,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,supplement work|has supplement work,,,,http://rdaregistry.info/Elements/w/P10172,has supplement work,,,,,
113,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,screenplay for motion picture work|is screenplay for motion picture work,,,,http://rdaregistry.info/Elements/w/P10173,is screenplay for motion picture work,,,,,
114,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,screenplay for television program work|is screenplay for television program work,,,,http://rdaregistry.info/Elements/w/P10174,is screenplay for television program work,,,,,
115,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,screenplay for video work|is screenplay for video work,,,,http://rdaregistry.info/Elements/w/P10175,is screenplay for video work,,,,,
116,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,script for radio program work|is script for radio program work,,,,http://rdaregistry.info/Elements/w/P10176,is script for radio program work,,,,,
117,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,addenda to work|is addenda to work,,,,http://rdaregistry.info/Elements/w/P10177,is addenda to work,,,,,
118,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,review of work|is review of work,,,,http://rdaregistry.info/Elements/w/P10178,is review of work,,,,,
119,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,summary of work|is summary of work,,,,http://rdaregistry.info/Elements/w/P10179,is summary of work,,,,,
120,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,catalogue of work|is catalogue of work,,,,http://rdaregistry.info/Elements/w/P10180,is catalogue of work,,,,,
121,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,concordance to work|is concordance to work,,,,http://rdaregistry.info/Elements/w/P10181,is concordance to work,,,,,
122,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,critique of work|is critique of work,,,,http://rdaregistry.info/Elements/w/P10182,is critique of work,,,,,
123,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,choreographic adaptation of work|is choreographic adaptation of work,,,,http://rdaregistry.info/Elements/w/P10183,is choreographic adaptation of work,,,,,
124,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,expanded version of work|is expanded version of work,,,,http://rdaregistry.info/Elements/w/P10184,is expanded version of work,,,,,
125,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,remake of work|is remake of work,,,,http://rdaregistry.info/Elements/w/P10185,is remake of work,,,,,
126,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,paraphrase of work|is paraphrase of work,,,,http://rdaregistry.info/Elements/w/P10186,is paraphrase of work,,,,,
127,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,commentary on work|is commentary on work,,,,http://rdaregistry.info/Elements/w/P10187,is commentary on work,,,,,
128,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,index to work|is index to work,,,,http://rdaregistry.info/Elements/w/P10188,is index to work,,,,,
129,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,libretto based on work|is libretto based on work,,,,http://rdaregistry.info/Elements/w/P10189,is libretto based on work,,,,,
130,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,source work|has source work,,,,http://rdaregistry.info/Elements/w/P10190,has source work,,,,,
131,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,augmentation of work|is augmentation of work,,,,http://rdaregistry.info/Elements/w/P10192,is augmentation of work,,,,,
132,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,abstracts for work|is abstracts for work,,,,http://rdaregistry.info/Elements/w/P10193,is abstracts for work,,,,,
133,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,indexing for work|is indexing for work,,,,http://rdaregistry.info/Elements/w/P10194,is indexing for work,,,,,
134,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,imitation of work|is imitation of work,,,,http://rdaregistry.info/Elements/w/P10196,is imitation of work,,,,,
135,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,parody of work|is parody of work,,,,http://rdaregistry.info/Elements/w/P10197,is parody of work,,,,,
136,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,finding aid for work|is finding aid for work,,,,http://rdaregistry.info/Elements/w/P10201,is finding aid for work,,,,,
137,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,preferred title of work|has preferred title of work,,,,http://rdaregistry.info/Elements/w/P10223,has preferred title of work,,,,,
138,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,musical theatre adaptation of work|is musical theatre adaptation of work,,,,http://rdaregistry.info/Elements/w/P10233,is musical theatre adaptation of work,,,,,
139,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,opera adaptation of work|is opera adaptation of work,,,,http://rdaregistry.info/Elements/w/P10234,is opera adaptation of work,,,,,
140,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as musical theatre work|is adapted as musical theatre work,,,,http://rdaregistry.info/Elements/w/P10235,is adapted as musical theatre work,,,,,
141,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as opera work|is adapted as opera work,,,,http://rdaregistry.info/Elements/w/P10236,is adapted as opera work,,,,,
142,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,music work|has music work,,,,http://rdaregistry.info/Elements/w/P10237,has music work,,,,,
143,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,music for work|is music for work,,,,http://rdaregistry.info/Elements/w/P10238,is music for work,,,,,
144,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,video music work|has video music work,,,,http://rdaregistry.info/Elements/w/P10239,has video music work,,,,,
145,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,music for video work|is music for video work,,,,http://rdaregistry.info/Elements/w/P10240,is music for video work,,,,,
146,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,television program music work|has television program music work,,,,http://rdaregistry.info/Elements/w/P10241,has television program music work,,,,,
147,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,music for television program work|is music for television program work,,,,http://rdaregistry.info/Elements/w/P10242,is music for television program work,,,,,
148,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,radio program music work|has radio program music work,,,,http://rdaregistry.info/Elements/w/P10243,has radio program music work,,,,,
149,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,music for radio program work|is music for radio program work,,,,http://rdaregistry.info/Elements/w/P10244,is music for radio program work,,,,,
150,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,motion picture music work|has motion picture music work,,,,http://rdaregistry.info/Elements/w/P10246,has motion picture music work,,,,,
151,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,choreography work|has choreography work,,,,http://rdaregistry.info/Elements/w/P10247,has choreography work,,,,,
152,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,choreography for work|is choreography for work,,,,http://rdaregistry.info/Elements/w/P10248,is choreography for work,,,,,
153,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as video game work|is adapted as video game work,,,,http://rdaregistry.info/Elements/w/P10249,is adapted as video game work,,,,,
154,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,video game adaptation of work|is video game adaptation of work,,,,http://rdaregistry.info/Elements/w/P10250,is video game adaptation of work,,,,,
155,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as graphic novel work|is adapted as graphic novel work,,,,http://rdaregistry.info/Elements/w/P10251,is adapted as graphic novel work,,,,,
156,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,graphic novelization of work|is graphic novelization of work,,,,http://rdaregistry.info/Elements/w/P10252,is graphic novelization of work,,,,,
157,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,subject work of|is subject work of,,,,http://rdaregistry.info/Elements/w/P10264,is subject work of,,,,,
158,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,oratorio adaptation of work|is oratorio adaptation of work,,,,http://rdaregistry.info/Elements/w/P10288,is oratorio adaptation of work,,,,,
159,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as oratorio work|is adapted as oratorio work,,,,http://rdaregistry.info/Elements/w/P10289,is adapted as oratorio work,,,,,
160,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,inspired by|is inspired by,,,,http://rdaregistry.info/Elements/w/P10290,is inspired by,,,,,
161,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,inspiration for|is inspiration for,,,,http://rdaregistry.info/Elements/w/P10291,is inspiration for,,,,,
162,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,commemoration|has commemoration,,,,http://rdaregistry.info/Elements/w/P10294,has commemoration,,,,,
163,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,commemoration of|is commemoration of,,,,http://rdaregistry.info/Elements/w/P10295,is commemoration of,,,,,
164,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,transformation|has transformation,,,,http://rdaregistry.info/Elements/w/P10336,has transformation,,,,,
165,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,transformation of|is transformation of,,,,http://rdaregistry.info/Elements/w/P10337,is transformation of,,,,,
166,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,transformation by style|has transformation by style,,,,http://rdaregistry.info/Elements/w/P10340,has transformation by style,,,,,
167,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,transformation by style of|is transformation by style of,,,,http://rdaregistry.info/Elements/w/P10341,is transformation by style of,,,,,
168,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,transformation by genre|has transformation by genre,,,,http://rdaregistry.info/Elements/w/P10342,has transformation by genre,,,,,
169,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,transformation by genre of|is transformation by genre of,,,,http://rdaregistry.info/Elements/w/P10343,is transformation by genre of,,,,,
170,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,transformation by policy|has transformation by policy,,,,http://rdaregistry.info/Elements/w/P10344,has transformation by policy,,,,,
171,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,transformation by policy of|is transformation by policy of,,,,http://rdaregistry.info/Elements/w/P10345,is transformation by policy of,,,,,
172,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,lyrics for work|is lyrics for work,,,,http://rdaregistry.info/Elements/w/P10369,is lyrics for work,,,,,
173,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,lyrics work|has lyrics work,,,,http://rdaregistry.info/Elements/w/P10370,has lyrics work,,,,,
